ID,Tweet,Sentiment
30,@LoreBeltran No me convence tal comparación porque casos se han visto sin mencionar los menores que sí han sido víctimas de abuso y en tal caso de que tema a que lo roben solo hay que ver las cifras de asesinatos por hurto a jóvenes entre los 18 y 26 años.,2
31,"Me encantaría que cada niña mande a la mierda al baboso que le grita cosas en la calle, que la miran de una forma morbosa, mientras mas violentas y agresivas seamos cambia aunque sea un poco.",2
32,@DrCroydon @fabiomenesesg Hay victimas de homofobia y transfobia entre nosotros. Muchas personas se van de sus casas y sus pueblos por rechazo y amenazas. Es una cosa con la que se vive socialmente. Que las conquistas y privilegios no nublen la cabeza.,2
33,@angelamrobledo Esta noche los ciudadanos de NARNIA como saben que tienen via libre para FUMAR MARIHUANA EN TRANSMILENIOS atacar CAI y destruir y vandalizar BOGOTA  comienzan a GRAFITEAR el monumento y @ClaudiaLopez GRACIAS POR SU DEMOSTRACION DE LIBRE DESARROLLO (guarden este tweet hasta mañana),2
34,"Ese es el mismo caso con las mujeres. Hay muchos hombres que son asesinados. Pero estos son asesinados por otros hombres, en su gran mayoria. Hay un porcentaje MINIMO de mujeres matando hombres y practicamente todas las muertes de mujeres son causadas por hombres:",3
35,#Horrible es movilizarse en Bogota y encontrar todas las semanas una marcha. Eso si es #Horrible tener que aguantar a los desadaptados.,2
36,"#BogotaInternacional | Tambien conocieron los avances en movilidad de la ciudad, a traves de las diferentes estrategias implementadas por @SectorMovilidad para mejorar la movilidad en proyectos en actores claves como: peatones, bicicletas y seguridad vial.",4
37,Menor fue atacado con tijeras por un compañero de su colegio,2
38,"En @SectorMovilidad trabajamos para que las mujeres en Bogota puedan disfrutar de una movilidad limpia, segura y eficiente. 
El secretario de Movilidad, @nico_estupinan, explica.",4
39,"Deja que entre el ESMAD, la policia, yo que se, pero eso de que estos criminales usen la universidad como escudo tiene que acabarse.
La autonomia universitaria que tanto invocan se violo hace raaaattttto desde que esta gentuza hace lo que quiere con impunidad.",2
40,Horror en Bogota: otro caso de intento de secuestro de un menor causo panico en la capital,2
41,"Al bagazo poco caso, el insulto es un arma ruin hecha por personas incultas y desadaptadas",3
42,@ClaudiaLopez Lo que si falta es un mapa de donde se ubican los casos para tomar precauciones en esas zonas de la ciudad. La incertidumbre genera panico.,3
43,"@ElColomboVenez1 @PoliciaBogota @ClaudiaLopez @TransMilenio @LuisErnestoGL La policia dira que como no hubo denuncia, entonces no fumaron. No señores, hay un video publico y deben judicializarlos. Violaron varias normas. Juzguen.",3
44,"Esto ya es el colmo!! Infringen el Codigo de Policia, no les importa intoxicar a las personas que estan en el bus, ya sean niños o ancianos. Y la @PoliciaBogota?? Buen gracias. Vigilancia en los buses y Estaciones.",2
45,"Bogota es una ciudad bici usuaria pero no porque haya infraestructura, cultura de ciclismo o seguridad para los ciclistas. Bogota es bici usuaria porque el transporte publico es caca y la gente prefiere pedalear a pesar de correr el riesgo de un robo o de un accidente.",3
46,"@redentor2126 @NoticiasCaracol Ya, ya marihuaneros revolucionarios! Si quieren drogarse haganlo en su hp casa.
No al lado de otras personas que no gustan de eso y tambien tienen derechos, mas los niños!",2
47,#Bogota l Este año mas de 55 mil mujeres han sido atendidas en las Casas de Justicia Sera Paz,4
48,"@TransMilenio @Citytv Transmilenio no sirve ni para haber hecho respetar a los usuarios de una partida de delincuentes que consumen sustancias alucinogenas al interior de un de los buses, ahora que sigue? Un asado, consumo de licor o una pijamada, respeten ese movil debio detenerse y pedir policia.",2
49,#TurismoSeguro ‚Brindamos informacion turistica del departamento a los transeuntes de #Buga y brindamos recomendaciones de seguridad para prevenir el hurto y delitos que afecta la seguridad y convivencia. #YOVOY #MasCercaDelCiudadano,5
50,"@ClaudiaLopez @UExternado Populismo, las calles vueltas mierda, transmilenio un desorden, inseguridad ramplante, la ciudad se la tomo los delincuentes, vendedores ambulantes y expendedores de drogas",2
51,"Me llegan reportes que el Coronavirus fue victima de robo y de herida con arma blanca por los lados de Patio Bonito al sur de Bogota, al parecer por no dejarse robar el celular.",3
52,"#CityNoticiasFDS | Durante 2019, 3.400 personas murieron en accidentes de tránsito con motos en el pais. 159 de las victimas las aporta Bogota, seguida por Cali con 139 y Medellin con 106. En lo corrido de 2020, 206 personas han muerto, entre ellas 12 menores de edad.",3
53,"@CaracolRadio @TransMilenio No me sorprende encontrar gente asi en @TransMilenio por que ellos mismos han permitido que todo ese tipo de situaciones se salgan de las manos, sin tomar ninguna medida. Vendedores ambulantes, colados, robos masivos, Entonces?",3
54,"@Juan_Florez @UNColombia Nuestra verguenza es que creamos en la autonomía universitaria, son delincuentes. No estudiantes.La fuerza pública debe ingresar a las universidades como esta ya en Medellin.",2
55,"@FREDYGUERRAHERR @darcyquinnr @ClaudiaLopez @TransMilenio @NoticiasCaracol @PoliciaBogota Drogos inmundos. Basofias sociales, vandalos inmundos. Etc, etc",1
56,"La TV te puede mostrar mil mensajes de drogadiccion, de violencia, de lo que sea. Encarnados en un deportista, un artista, un actor, un muñeco. Pero en la casa, la formacion es de con los que vives; ellos son el ejemplo, no la basura que llegue de afuera",4
57,"#VanessaTransmilenioEs inseguro, toxico, sobrepoblado, un sistema por ricos para nosotros los pobres. @vanedelatorre",3
58,"@ClaudiaLopez @TransitoBta @TransMilenio La corrupcion de Transmilenio, pasaje costoso, mal servicio, inseguridad y antro de drogadiccion",2
59,#InfoBogota. Mujer que persiguia a ladron termino atropellada por un TransMilenio. El delincuente la empujo de la estacion de la calle 19.,2
60,"Sumando los casos de violencia intrafamiliar, en 2019 ya habria una media de una mujer (esposa, hermana, hija, etc) siendo violentada cada 31 minutos. Una mujer cada 24 minutos fue agredida sexualmente y cada 30 minutos una mujer fue agredida emocionalmente.",2
61,"Para finales de 2019, se registraron 98583 mujeres violentadas, 1595 muertes violentas y 750 suicidios. 34183 casos de violencia intrafamiliar, violencia interpersonal 31044 agresiones; violencia sexual 18967; violencia intrafamiliar 13160 casos y 799 feminicidios hasta octubre.",2
62,@IvanDuque Jajajajajajajaja a pobre hp mentiroso los niños que bombardeo? Los niños que se mueren en el atlantico? Los niños que salen del colegio y no tienen derecho a una educacion superior? La niña que se llevo hoy la policia a la fuerza de un colegio? Descarado hp!,2
63,"@TJER2016 denuncia abuso de autoridad de la @PoliciaBogota en IED Libertador de Bogota, aqui no hay policia de infancia y adolescencia, estan agrediendo a menores de edad, ademas se denuncia el abuso a una menor en un CAI cercano el 4 de marzo. @EdnaBonillaSeba @Educacionbogota",1
64,"Hoy, vandalos desadaptados y encapuchados al interior de la Universidad Nacional en Bogota, han lanzado piedras, acido dentro de botellas. 
La @PGN_COL deberia investigar a las directivas y profesores de esa Institucion, por hacer poco o nada para impedirlo.",2
65,"No les parece que hay momentos en que Bogota parece demasiado agobiante? Pesima Calidad del Aire, Pico y Placa hasta fds, trafico tremendo, inseguridad para las mujeres y  hasta en El Dorado hay trancon de aviones?  Dame paciencia virgen del agarradero…",3
66,Auxiliar de la Policia ayudaba a una mama y dos hijos ladrones a robar en Transmilenio,2
67,"Es la primera vez, en dos años y medio que llevo viviendo aqui, que se cuelan unos borrachuzos en el parque que colinda con mi habitacion. Es definitivo: el universo me esta diciendo que este ya no es mi lugar ni mi espacio",3
68,"Por andar de borracha, me robaron el celular",3
69,@ClaudiaLopez @PoliciaBogota @FiscaliaCol  Estos drogadictos la van a volver hacer para cuando la captura de esta banda?  @TransMilenio,2
70,"@ArribaBogota @BallesterosLeo @Citytv @Bogota De esa inseguridad estamos plagados en Bogota, y demalas con el que se moleste, pero la mayoria de esos ladrones son Venezolanos, tambien colombianos claro.@TransMilenio ya no es seguro, parece un bronx movil.",2
71,Yo sufro de una grave adiccion a los jueguitos del celular y encontre una nueva droga blanda en forma de animalitos kawaii.,4
72,"@NoticiasCaracol No me extraña. Transmilenio es la cloaca social de Bogota. Al garete, sin cintroles ni seguridad. Esta en manos de los hampones, los vendedores ambulantes, los pervertidos y toda clase de lacras. Lo peor de la sociedad sucede ahí",2
73,Asi operaba la temible banda que robaba celulares en TransMilenio.,3
74,Desarticulan banda dedicada al cosquilleo en Transmilenio,4
75,@SectorMovilidad la calle 116 taponada por semaforos apagados llevan 2 horas y ni un policia!!!,2
76,"@MamerMoure Santi todo lo que haga el pueblo en contra del establecimiento es delito, por eso nos quieres callados y sumisos.",3
77,"Afortunadamente luego llego una moto de la Policia pero tuve que seguir por miedo a que el Man me hiciera algo. No se que habra pasado despues, pero solo pido que la muchacha lo haya denunciado y el imbecil ese reciba su merecido.",3
78,"#InfoBogota. Los violentos atracos que impactan a municipios de la Sabana de Bogota. Entre enero y febrero del 2019, se registraron 416 hurtos a residencias, y este año ya van 311. Usted ha sido victima? Escribanos a carmal@eltiempo.com",3
79,"En una ciudad con una inseguridad como la de Bogota y con trayectos de mas de 20 Km en medio del agreste trafico de la ciudad, la bicicleta no es una opcion real de movilidad para todos.",3
80,"Hoy policias armados @PoliciaBogota agredieron y detuvieron a estudiantes menores de edad del Colegio Libertador, yo pregunto a @LuisErnestoGL @GobiernoBTA y a @ClaudiaLopez @Bogota si es que ustedes o @HugoASeguridad derogaron la Ley 1098 de 2006 expliquen, violaron protocolos",2
81,"@ClaudiaLopez @UNColombia Hoy policias armados @PoliciaBogota agredieron y detuvieron a estudiantes menores de edad del Colegio Libertador, yo pregunto a @LuisErnestoGL de @GobiernoBTA y a @ClaudiaLopez @Bogota si es que ustedes o @HugoASeguridad derogaron la Ley 1098 de 2006 expliquense...",2
82,@Karlaarcila Seguramente tenian en mente el robo de celulares.,2
83,"La banda delincuencial 'Los rojos‚ tenian azotados con hurtos a los usuarios @Transmilenio, en Bogota.Gracias a la accion de @PoliciaBogota, hoy fueron capturados cinco mujeres y tres hombres, reincidentes en el delito. CC @Bogota @JGarciaG1 @PoliciaColombia @infopresidencia",5
84,"@ManuelaAldanaa Marica es que es verdad, hacen una mano de mierdas en el Tm, cuanta gente no han matado y todos los dias roban de todas las formas, aplastan a la gente como estampidas. A cuantas mujeres no manosean, y severo empute por fumar yerba, que no daña a nadie.",2
85,"No se que da mas asco, los pirobos que fuman en el Transmilenio o la gente estupida que ataca a los que se quejan y quieren justificarse.",2
86,Conozca la historia de la Pareja de venezolanos que denuncia caso de xenofobia en #Bogota,3
87,"#Judicial | Cayeron 'Los Rojos', señalados del robo de celulares en Transmilenio",4
88,#ResumenDiario | Que descaro! Habitante de la calle apuñala a profesora por no dejarse violar en Medellin,2
89,"Una noticia agridulce tuvo la Administración Distrital con las victimas cifras de comision de delitos en Bogota. Mientras que el hurto presento una importante caida, el homicidio vuelve a crecer, despues de un mes de alivio",3
90,Lo mejor que pueden hacer los hombres y colectivos denunciados por violencia de genero un dia como hoy es quedarse callados. Su cinismo da verguenza.,3
91,"Estudiantes de la Universidad Nacional alegan autonomia universitaria y desde adentro atacan con acido a la policia , no me jodan",2
92,Luminarias de la calle 148 entre carreras 98 y 101 se encuentran dañadas generando un ambiente de inseguridad. Por favor actuar pronto @Uaesp @CodensaEnergia,3
93,"@fdbedout Cualquier muerte sea por un celular, por ser lider social, defensor de los DDHH o sea el tema un asesinato es doloroso, lo que uno se pregunta qua esta haciendo el estado y sus entidades para acabar con ese flagelo de la delincuencia, paras, guerrilas y badcrim",2
94,"Con los dias de estar orgullosa de ser mujer.Cuando dejemos de sentir temor al salir de nuestras casa, cuando nos dejen de morbosear, violar, maltratar y matar, ahi podremos celebrar que somos mujeres.#DiaDeLaMujer #NiUnaMenos #8MDiaInternacionalDeLaMujer #8M2020",3
95,"Una casa de apuestas es el patrocinador de la liga, en un pais con tanta plata ilegal y con sobre poblacion de delincuentes es un escenario perfecto para lavar activos.",3
96,"Las mujeres, segun la @secredistmujer, son victimas del 80% de los casos de violencia sexual en el espacio publico.En el #8M las invito a que participemos en los escenarios de incidencia politica y a alzar nuestras voces por en todos los ambitos #MujeresHacenHistoria",4
97,Investigan presunto robo por parte de patrulleros de la Policia de #Bogota #NotiCentro1CMI,3
98,Es que salio drogada del transmilenio!!!! Despues no se queje ....,3
99,"Nunca entendere por que el asombro a la desnudes, al sexo... son cosas tan simples! Impresion da, ver niños en la calle, animales maltratados, jovenes perdidos en las drogas, mujeres violadas. Eso si es problema.",2
100,"Atentos! No aumenta la tarifa de TransMilenio para personas con beneficio del Sisben, en condicion de discapacidad y adultos mayores",5
101,"Delincuentes, haciendose pasar por usuarios, se subieron a un bus del SITP en la autopista Sur y luego procedieron a asaltar a pasajeros. Victimas piden a autoridades implementar metodos mas sencillos para realizar denuncias; se abstienen de hacerlo por lo engorroso del tramite.",3
102,"Venia re dormido en el bus y se subieron dos manes a robar, y no me prestaron atencion porque creo que les dio pena haberme despertado :/",4
103,"Golpeado, amordazado y robado un conductor de Beat en #Bogota#NotiCentro1CMI",2
104,Fumar cualquier cosa en el transporte pulico es una hijueputada pero que salgan a decir que la Policia investigara es una pendejada tipica de los tombos en una ciudad donde se deben concentrar en verdaderos delitos que nos afectan.,2
105,@pinillawilliam1 @MariaTe97796091 @ClaudiaLopez @Bogota @German_garciaM @GobiernoBTA @LuisErnestoGL @PoliciaColombia @ALantonionarino @manolitosalazar @CaracolRadio Vandalos camuflados en una causa. Pero vandalos que hoy sienten que pueden hacer lo que deseen!!! Donde esta la secretaria de seguridad y gobierno?,2
106,"Si, no tiene muchas probabilidades de muerte, peeeeeeerooo.... 20% de los casos se hospitalizan y el 10%  va a Unidad de cuidados intensivos ..... prevenir y ya.",3
107,"@Wariyero @DiegoC9102 Lo drogo con escopolamina, tambien conocida como burundanga o hioscina, que causa delirio, psicosis, paralisis y en algunos casos, la muerte.",2
108,@Bogota Cuanta plata se estan robando de los impuestos para darte tanta publicidad a transmiseria??,2
109,@PocoTrino Quien se roba un celular para tomarse fotos????,3
110,"@RedMasNoticias Con tanta jodedera aqui en Bogota, creo que lo que busca la administracion distrital es que hasta los mismo bogotanos nos vayamos de nuestra ciudad y del pais. Sinceramente poco a poco estan haciendo imposible vivir aqui. Inseguridad, impuestos, caos, protestas, impunidad, etc.",3
111,Estadounidense llego a #Bogota y mientras bajaba del taxi lo atracaron,2
112,"Y pues ahí estaba tranquila con su vida mas o menos estable y hoy me llega la noticia de que su novio, con quien ya llevaba 6 años, salio en bicicleta Y LO ATROPELLO UN CAMION. Mk lo mato. O sea puta, en serio???? Estoy en shock, estoy muy ardida.",2
113,"@IDRD @Bogota Como es posible que despues de un año, en el Parque de los Novios no dejen ingresar bicis, o por lo menos haya un parqueadero para dejarlas seguras. La administracion de este lugar va de mal en peor.Algun dia piensan solucionarlo?",2
114,"@PoliciaBogota hay un habitante de calle en la calle 161 con cr 9 amenazando romper con una piedra los vidrios de los carros. Por favor ayuda, ahi es un semaforo.",2
115,@SectorMovilidad Domingo a las 12:40 pm el conductor del bus WEV 619 EITB (Z70-4297) realizo en reiteradas ocasiones maniobras peligrosas en contra de un vehiculo particular con el fin de adelantarlo. Esto en la kr4 ente calles 22 y 19. Estuvo a punto de generar un accidente,3
116,"@merv59 No se puede comparar una foto de un proceso de paz, en ese caso media colombia seria condenada, otra cosa es tomar una foto con un narcotraficante en ejercicio, admitalon Duque les mintioa sus electores y a toda colombia, defefenderlo es hacer apologia al delito",3
117,Quienes son los integrantes de la temida banda de ladrones en TM que ayudaba un policia?,3
118,Por robarles el celular....fijo....,3
119,Si quieren que baje la contaminación de Bogota no es atacando a la poblacion de carros y motos que dejen de operar todos los vehiculos chimenea incluyendo Transmilenio y cerrar toda industria que contamine es mas facil que crearle caos a toda la poblacion de una Ciudad capital,3
120,"Seguimos conmemorando #DiaInternacionalDeLaMujer ahora en conversatorio en Parque Nacional #MujeresHacenHistoria @ClaudiaLopez Debemos acabar con la violencia contra las mujeres. Debemos permitir que niñas hagan + ejercicio, que brinquen!",4
121,"@heyyitsbubbles Es la verdad. Yo si estoy a la defensiva con cualquier hombre en la calle porque no se cual en algun momento me va a drogar, violar, echar acido o asesinar.
No son todos, pero si los suficientes como para que tenga miedo a cada minuto del dia.",2
122,Comparto de nuevo este hilo sobre los riesgos de violencia sexual que sufren las mujeres en situaciones de detenciones arbitrarias en Bogota. Deben tomarse medidas inmediatas para prevenir detenciones arbitrarias de mujeres y garantizar su integridad  @Viviana_bo @LasIgualadas,3
123,"Todos se indignan por los mutiples casos de violacion, curiosamente muchos niños denuncian desde pequeños y la familia simplemente... Minimiza, oculta e ignora. 
El maldito dolor de las apariencias.",2
124,"Bogota es una ciudad golpeada por la corrupcion, por la criminalidad, y concentra lo mejor y lo peor de este pais. Pero yo amo a Bogota, odio a la gente que la contamina, que la vandaliza, que se roba sus recursos, que agrede e insulta. El problema somos los ciudadanos no Bogota.",3
125,Exigir un ambiente libre de smog no bus autoriza a llenar un bus de humo de marihuana. Exigir que cesen los feminicidios no nos da a licencia a conductas que agraven una epidemia que acelera la muerte de nuestros viejos.,3
126,@ClaudiaLopez @TwitterLatAm Me acuerdo cuando el ESMAD ataca a un grupo de mujeres en el parque nacional. Espero no haber herido sensibilidades o polarizado. Son datos y hay que darlos.,2
127,@PoliciaColombia desarticula dos grupos de delincuencia dedicados a la pirateria terrestre en el #EjeCafetero y #Bogota #NotiCentro1CMI,4
128,"@ClaudiaLopez ante los disturbios en la #UniversidadNacional, se quita los pantalones y se pone la falda.  Es debil frente a la toma decisiones contra el vandalismo. Bogota es una talla XXL para una alcaldesa XS. @CeDemocratico @IvanDuque @Bogota @AlvaroUribeVel",2
129,@ClaudiaLopez Demagogia pura. El 91% de las victimas de homicidio en Bogota y en Colombia sln hombres. No es desproporcionado o es que quizas hay muertas de primera clase y muertos de segunda?,2
130,Hombres tambien acompañaron a cientos de mujeres que marcharon este domingo por vias de Bogota en el #DiaInternacionalDeLaMujer.  La campaña #NoEsHoraDeCallar lidero masivo evento en el Parque Nacional.  #CityNoticiasFDS,4
131,"Inaceptable actuacion de @PoliciaBogota contra niñas, niños y jovenes del Colegio El Libertador, deben investigar presuntos delitos @PGN_COL @personeriabta @Educacionbogota @GobiernoBTA @ClaudiaLopez @Bogota",2
132,@FREDYGUERRAHERR @ClaudiaLopez @TransMilenio @NoticiasCaracol @PoliciaBogota Carcel para todos y cada uno de los que salen en ese video fumando marihuana en transmilenio.,3
133,"Hay que reportar todos los casos de abuso, fisico o psicologico. Incluso cuando aun es solo una sospecha",5
134,"@NoticiasCaracol Es un espacio publico cerrrado libre de humo, merecen multa",3
135,"El dia de ayer fui golpeado, drogado y me quitaron la billetera, papeles, telefonos celulares, mejor dicho lo muy poco que materialmente y profesionalmente en mi trabajo de periodista haya podido sucederme. Pero esto no me va a detener en mis actividades, solo cambio de habitos",3
136,@301994jessicaa @ClaudiaLopez @udistrital Imaginate la poblacion vulnerable... la @Bogota deberia poner una ruta circular para que la gente vaya al Roosevelt y a la UD,3
137,"@EmelRojasC tiene toda la razon DR,ROJAS,de secretario de gobierno hay es un viejo marica y de alcalde una vieja lesbica, esta BOGOTÅ SE LA ESTA COMIENDO LA INSEGURIDAD!  El tunjo!",2
138,"Las mujeres en Chad  practicamente no tienen derechos. apenas un 55% de las niñas acuden a la escuela. La mayoria de las niñas se casan a la edad de 11-12 años. Suelen ser violadas por miembros de grupos armados de oposicion, bandidos y fuerzas de seguridad de Chad. #NiUnaMenos",2
139,"En la India el 70% de mujeres son sometidas regularmente a la violencia familiar. Cada 29 minutos, una mujer es victima de violacion. 44,5% de las niñas en el pais se casan antes de cumplir 18 años.  #DiaInternacionalDeLaMujer",2
140,Erradicar las formas de violencia de genero y hacer de Bogota un lugar seguro son objetivos del Plan de Desarrollo para la capital. Asi lo aseguro la alcaldesa Claudia Lopez,4
141,"No me acuerdo si al señor ya lo habían capturado. Creo que si, pero al cabo que ni importa. Johanna esta muerta. Ella habia estado en Casa Refugio por victima del conflicto y por violencia de pareja. Por los niños‚ fue a pasar las fiestas con su ex pareja. Y fueron las victimas.",2
142,"Hombre intentorobarse a niño de dos años de los brazos de su abuela en Bogota
https://t.co/8eZKM5hk55 https://t.co/pV8q5rHqAI",2
143,"El director @FernandoGrilloR acompaña a la ministra de Justicia Margarita Cabello, en reunion con entidades del Sector Justicia y de la Alcaldia de @Bogota, para avanzar en soluciones a la problematica de sindicados y hacinamiento en estaciones de policia de la capital del pais. https://t.co/H9YkhgQA6g",4
144,"@jorgemontanac @TransMilenio Si @TransMilenio usa la Secretaria de la Mujer para hacerse publicidad como no va a usar la cuenta de algun pendejo. Veguenza de empresa y verguenza de servicio. Corruptos, ladrones.",2
145,"@ClaudiaLopez @nico_estupinan las App-Monopolio-Transnacional en ningun caso son ejemplos de Economia Colaborativa  Es ej de engaño migrar divisas #ContaminacionDelAire
#CeroMovilidad Golpea la economia Golpea el @Ambientebogota Inseguridad Siniestralidad @emeterio_montes",3
146,"El transmilenio roban, manosean, cosquillean, te quieren violar y hasta matar y se indignan por un porro? Esta super rayado que los chicos hagan eso; por favor ni el mas marihuano lo haria, eso es pura publicidad politica pagada",2
147,Digamos que el asesinato del escolta del lider social fue por robarle el celular a ver si la ignorante ministra del interior se preocupa por este asesinato,2
148,"Tengo una rabia la berraca, porque intentaron robarme el celular hace unos dias y hoy a mi Hermano le robaron la bici Y sin pensar en lo que pasa diariamente, urge buenos mecanismos de justicia ante cualquier situacion y que no pase como la bobada de Luisa W contra Arrieta",2
149,@DonNadieOficial En estos casos que tipo de violencia había de la mujer al hombre? En que se basa para generalizar de esa manera?,3
150,"@navalenciar 1-No dejar el celular es que anda siempre jugando o mirando redes sociales. El que piensa mal es porque algo malo hace.
2- Si su pareja le revisa el celular huya, esta con un psicopata que no confia en nada ni en nadie. Usd es victima de su inseguridad",3
151,"""Los ciclistas representan solo el 7% de los viajes que se hacen en Bogota, para que aumente esta cifra vamos aumentar la seguridad vial, mejorar la iluminacion, la señalizacion y las ciclorutas, para que tengan mas garantias"", @ClaudiaLopez #ElPlanDeBogota https://t.co/s5La3qpq3g",4
